SYSTEMSTOP,OBJECTID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,STATUS,PUBLIC_NAM,Latitude,Longitude,Number,Street2,City,State,County,Zip
2639,10053,79TH STREET,WABASH,WB,NS,79,N79,1,79th Street & Wabash,41.751263,-87.622665,7841,S Wabash Ave,Chicago,IL,Cook County,60619
4116,10054,ARMITAGE,SAWYER 9west leg),WB,NS,73,,1,Armitage & Sawyer,41.917558,-87.708772,3242,W Armitage Ave,Chicago,IL,Cook County,60647
12379,10055,111TH STREET,ST. LOUIS,WB,NS,112,,1,111th Street & St. Louis,41.69131,-87.707914,11103,S St Louis Ave,Chicago,IL,Cook County,60655
11074,10056,DIVERSEY,LAWNDALE,WB,NS,76,,1,Diversey & Lawndale,41.932066,-87.719357,3654,W Diversey Ave,Chicago,IL,Cook County,60647
12185,10057,103RD STREET,1700 WEST,WB,MB,103,,1,1700 W 103rd Street,41.706988,-87.664323,1656,W 103rd St,Chicago,IL,Cook County,60643
7635,10058,35TH STREET,STATE,WB,NS,35,,1,35th Street & State (Green Line),41.830896,-87.626175,3816,S Martin Luther King Jr Dr,Chicago,IL,Cook County,60616
10449,10059,OLD ORCHARD RD,5420 W.(dwy to Portland),WB,NS,"54A,205",,1,5420 W Old Orchard Rd,42.063289,-87.763508,5420,Old Orchard Rd,Skokie,IL,Cook County,60077
11083,10060,DIVERSEY,4600 WEST,WB,MB,76,,1,4600 W Diversey,41.931232,-87.74223,4601,W Diversey Ave,Chicago,IL,Cook County,60639
4658,10061,NARRAGANSETT,63RD STREET,NB,FS,55N,,1,Narragansett & 63rd Street,41.777949,-87.781022,6356,W 63rd St,Chicago,IL,Cook County,60638
11287,10062,KIMBALL,FOSTER,NB,NS,82,,1,Kimball & Foster,41.975462,-87.713153,5155,N Kimball Ave,Chicago,IL,Cook County,60625
1134,10063,LAKE SHORE,GOETHE,NB,FT,151,,1,Lake Shore & Goethe,41.905913,-87.625005,,US 41,Chicago,IL,Cook County,60611
11254,10064,HOMAN,NORTH AVENUE,NB,NS,82,,1,Homan & North Ave,41.909767,-87.711696,3359,W North Ave,Chicago,IL,Cook County,60647
1897,10065,CLARK,OAK,NB,NS,"22,70",N22,1,Clark & Oak,41.900354,-87.631727,123,W Oak St,Chicago,IL,Cook County,60610
12928,10066,PULASKI,57TH STREET,NB,NS,53A,,1,Pulaski & 57th Street,41.78937,-87.722687,3951,W 57th St,Chicago,IL,Cook County,60629
2113,10067,KING DRIVE,87TH STREET,NB,FS,3,,1,King Drive & 87th Street,41.736787,-87.614149,400,E 87th St,Chicago,IL,Cook County,60619
5289,10068,JEFFERY,89TH STREET,NB,FS,"J14,15",,1,Jeffery & 89th Street,41.733237,-87.575344,8901,S Jeffery Blvd,Chicago,IL,Cook County,60617
8360,10069,WESTERN,CERMAK,NB,NS,"49,X49",N49,1,Western & Cermak,41.851539,-87.68527,2215,S Western Ave,Chicago,IL,Cook County,60608
6163,10070,ASHLAND,79TH STREET,NB,NS,"9,X9",N9,1,Ashland & 79th Street,41.750218,-87.663053,7901,S Ashland Ave,Chicago,IL,Cook County,60620
14206,10071,OGDEN,TAYLOR,SWB,FS,12,,1,Ogden & Taylor,41.868848,-87.681475,1000,S Leavitt St,Chicago,IL,Cook County,60612
1711,10072,WESTERN,HOLLYWOOD,SB,NS,49B,,1,Western & Hollywood,41.985101,-87.689792,5700,N Western Ave,Chicago,IL,Cook County,60659
15278,10073,INDIANA,15TH PLACE,SB,NT,12,,1,Indiana & 15th Place,41.86142,-87.621911,1521,S Indiana Ave,Chicago,IL,Cook County,60605
669,10074,GRAND,SAYRE,EB,NS,"65,74",,1,Grand & Sayre,41.923364,-87.801184,7005,W Grand Ave,Chicago,IL,Cook County,60707
5262,10075,103RD STREET,OGLESBY,EB,NS,"15,26",,1,103rd Street & Oglesby,41.707862,-87.565894,2365,E 103rd St,Chicago,IL,Cook County,60617
9180,10076,51ST STREET,UNION,EB,NS,51,,1,51st Street & Union,41.801507,-87.642647,5101,S Union Ave,Chicago,IL,Cook County,60609
12541,10077,ADDISON,CLARK,EB,FS,152,,1,Addison & Clark,41.947057,-87.656123,3555,N Clark St,Chicago,IL,Cook County,60657
15019,10078,75TH STREET,KING DRIVE,EB,FS,75,,1,75th Street & King Drive,41.758217,-87.614818,405,E 75th St,Chicago,IL,Cook County,60619
2819,10079,95TH STREET,KING DRIVE,EB,NS,"N5,95,100,111,115",N5,1,95th Street & King Drive,41.721587,-87.614349,9500,S Martin Luther King Jr Dr,Chicago,IL,Cook County,60628
10160,10080,69TH STREET,LOOMIS,EB,NS,67,,1,69th Street & Loomis,41.768456,-87.659472,1407,W 69th St,Chicago,IL,Cook County,60636
12164,10081,103RD STREET,WENTWORTH,EB,NS,103,,1,103rd Street & Wentworth,41.706927,-87.628104,10305,S Wentworth Ave,Chicago,IL,Cook County,60628
8178,10082,47TH STREET,STATE,EB,NS,47,,1,47th Street & State,41.808981,-87.625728,4705,S State St,Chicago,IL,Cook County,60609
11443,10083,PETERSON,CENTRAL PARK,EB,NS,84,,1,Peterson & Central Park,41.989981,-87.718655,3601,W Peterson Ave,Chicago,IL,Cook County,60659
832,10084,GRAND,MARMORA,WB,NS,65,,1,Grand & Marmora,41.92024,-87.772941,2203,N Marmora Ave,Chicago,IL,Cook County,60639
9341,10085,BELMONT,MOBILE,WB,NS,77,N77,1,Belmont & Mobile,41.938594,-87.783313,6256,W Belmont Ave,Chicago,IL,Cook County,60634
2914,10086,111TH STREET,RR CROSSING AT STEWART,WB,NS,111,,1,111th Street & Stewart,41.692244,-87.632214,349,W 111th St,Chicago,IL,Cook County,60628
7737,10087,PERSHING,LANGLEY,EB,NS,39,,1,Pershing & Langley,41.823681,-87.609996,669,E Pershing Rd,Chicago,IL,Cook County,60653
6303,10088,26TH STREET,4537 WEST,EB,MB,60,N60,1,4537 W 26th Street,41.843764,-87.738372,4400,W 26th St,Chicago,IL,Cook County,60623
3449,10089,63RD STREET,KIMBARK,EB,NS,63,N63,1,63rd Street & Kimbark,41.780302,-87.594859,1231,E 63rd St,Chicago,IL,Cook County,60637
9427,10090,87TH STREET,BLACKSTONE (west leg),EB,NS,87,,1,87th Street & Blackstone,41.736623,-87.588314,1459,E 87th St,Chicago,IL,Cook County,60619
11347,10091,MONTROSE,CAMPBELL (west leg),EB,NS,78,,1,Montrose & Campbell,41.961085,-87.692061,2521,W Montrose Ave,Chicago,IL,Cook County,60618
2771,10092,79TH STREET,west of WENTWORTH,EB,MB,"8A,24,79",N79,1,79th Street & Wentworth,41.750708,-87.629818,207,W 79th St,Chicago,IL,Cook County,60620
7723,10093,PERSHING,CANAL,EB,NS,39,,1,Pershing & Canal,41.82332,-87.637104,415,W Pershing Rd,Chicago,IL,Cook County,60609
1985,10094,DIVISION,KILBOURN,EB,NS,70,,1,Division & Kilbourn,41.902231,-87.738359,4459,W Division St,Chicago,IL,Cook County,60651
3616,10095,OAKTON,HARTREY,EB,MT,97,,2,Oakton & Hartrey,42.026722,-87.703922,2133,Oakton St,Evanston,IL,Cook County,60202
2790,10096,79TH STREET,KIMBARK,EB,NS,79,N79,1,79th Street & Kimbark,41.751244,-87.593373,7900,S Kimbark Ave,Chicago,IL,Cook County,60619
12642,10097,CENTRAL STREET,GREEN BAY RD,EB,NS,201206,,2,Central Street & Green Bay Rd,42.064074,-87.698907,1900,Central St,Evanston,IL,Cook County,60201
12213,10098,103RD STREET,INDIANA,EB,NS,106,,1,103rd Street & Indiana,41.706979,-87.618827,135,E 103rd St,Chicago,IL,Cook County,60628
9553,10099,GUNNISON,MELVINA (west leg),EB,MT,81W,,1,Gunnison & Melvina,41.968275,-87.783004,6155,W Gunnison St,Chicago,IL,Cook County,60630
9729,10100,GUNNISON,NATOMA,EB,NT,81W,,1,Gunnison & Natoma,41.96862,-87.793078,6600,W Gunnison St,Harwood Heights,IL,Cook County,60706
12443,10101,119TH STREET,JUSTINE,EB,NT,119,,1,119th Street & Justine,41.677826,-87.660508,1538,W 119th St,Chicago,IL,Cook County,60643
553,10102,CHICAGO,WOLCOTT,EB,NS,66,N66,1,Chicago & Wolcott,41.895731,-87.674775,1901,W Chicago Ave,Chicago,IL,Cook County,60622
15284,10103,BROADWAY,MONTROSE,NB,FS,36,,1,Broadway & Montrose,41.962306,-87.655226,4411,N Broadway St,Chicago,IL,Cook County,60640
14592,10104,WESTERN,LAWRENCE,NB,FS,"11,49,49B,X49",N49,1,Western & Lawrence,41.969017,-87.688578,4811,N Western Ave,Chicago,IL,Cook County,60625
7599,10105,MICHIGAN,119TH STREET,NB,FS,34119,N34,1,Michigan & 119th Street,41.678214,-87.620291,11857,S Michigan Ave,Chicago,IL,Cook County,60628
9911,10106,NORTHWEST HWY,OZARK,NWB,FS,68,,1,Northwest Hwy & Ozark,42.005502,-87.819944,6845,N Northwest Hwy,Chicago,IL,Cook County,60631
17089,10107,OGDEN,WASHTENAW,SWB,FS,18157,,1,Ogden & Washtenaw,41.861822,-87.693081,2663,W Ogden Ave,Chicago,IL,Cook County,60608
2576,10108,COTTAGE GROVE,73RD STREET,SB,NS,4,,1,Cottage Grove & 73rd Street,41.762098,-87.605741,7300,S Cottage Grove Ave,Chicago,IL,Cook County,60619
9569,10109,AUSTIN,ADDISON,SB,NS,91,,1,Austin & Addison,41.94598,-87.776337,5958,W Addison St,Chicago,IL,Cook County,60634
17945,10979,MONTROSE,SACRAMENTO,WB,FS,78,,1,Montrose & Sacramento,41.961357,-87.703642,3004,W Montrose Ave,Chicago,IL,Cook County,60618
17947,10980,IRVING PARK,NATCHEZ,EB,NS,80,,1,Irving Park & Natchez,41.95257,-87.789336,6507,W Irving Park Rd,Chicago,IL,Cook County,60634
17948,10981,IRVING PARK,PACIFIC,WB,NT,80,,1,Irving Park & Pacific,41.952122,-87.826745,3957,N Pacific Ave,Chicago,IL,Cook County,60634
17949,10982,87TH STREET,WOOD,WB,FS,87,N87,1,87th Street & Wood,41.735974,-87.668337,1800,W 87th St,Chicago,IL,Cook County,60620
17950,10983,HALSTED,53RD STREET,SB,FS,8,,1,Halsted & 53rd Street,41.797641,-87.645665,5300,S Halsted St,Chicago,IL,Cook County,60609
17951,10984,HALSTED,53RD STREET,NB,FS,8,,1,Halsted & 53rd Street,41.798207,-87.644964,5253,S Halsted St,Chicago,IL,Cook County,60609
17957,10985,75TH STREET,KING DRIVE,WB,FS,75,,1,75th Street & King Drive,41.758585,-87.615533,7450,S Martin Luther King Jr Dr,Chicago,IL,Cook County,60619
17959,10986,MILWAUKEE,GRESHAM,NWB,FS,56,,1,Milwaukee & Gresham,41.934414,-87.715794,2919,N Milwaukee Ave,Chicago,IL,Cook County,60618
17961,10987,31ST,BEACH,NB,TERM,35,,1,31st Street Beach,41.838629,-87.608557,,US 41,Chicago,IL,Cook County,60653
17966,10988,63RD STREET,LATROBE,WB,FT,63W,,1,63rd Street & Latrobe,41.778007,-87.753421,5235,W 63rd St,Chicago,IL,Cook County,60638
17967,10989,COTTAGE GROVE,67TH STREET,SB,FS,4,,1,Cottage Grove & 67th Street,41.772835,-87.606043,6704,S Cottage Grove Ave,Chicago,IL,Cook County,60637
17953,10990,HALSTED,MARQUETTE RD,SB,FS,8,,1,Halsted & Marquette Rd,41.772223,-87.644301,6705,S Halsted St,Chicago,IL,Cook County,60621
17968,10991,71ST STREET,JEFFERY,WB,FS,71,,1,71st Street & Jeffery,41.7664,-87.576628,1950,E 71st St,Chicago,IL,Cook County,60649
17975,10992,DIVISION,CENTRAL,EB,FS,70,,1,Division & Central,41.901844,-87.765197,1155,N Central Ave,Chicago,IL,Cook County,60651
17984,10993,AUSTIN,VAN BUREN,SB,NS,91,,1,Austin & Van Buren,41.874758,-87.774693,350,S Austin Blvd,Oak Park,IL,Cook County,60304
17976,10994,DIVISION,CENTRAL PARK,EB,FS,70,,1,Division & Central Park,41.902574,-87.716906,3604,W Grand Ave,Chicago,IL,Cook County,60651
17977,10995,DIVISION,HOMAN,EB,FS,70,,1,Division & Homan,41.902551,-87.711327,3351,W Division St,Chicago,IL,Cook County,60651
17978,10996,DIVISION,HAMLIN,WB,FS,70,,1,Division & Hamlin,41.902904,-87.721779,3806,W Division St,Chicago,IL,Cook County,60651
17979,10997,DIVISION,KEELER,WB,FS,70,,1,Division & Keeler,41.902744,-87.731394,4200,W Division St,Chicago,IL,Cook County,60651
17980,10998,DIVISION,KOSTNER,WB,FS,70,,1,Division & Kostner,41.902862,-87.73634,1208,N Kostner Ave,Chicago,IL,Cook County,60651
17981,10999,DIVISION,LONG,WB,NS,70,,1,Division & Long,41.902352,-87.76141,5408,W Division St,Chicago,IL,Cook County,60651
17982,11000,DIVISION,CENTRAL,WB,NS,70,,1,Division & Central,41.902323,-87.765872,5600,W Division St,Chicago,IL,Cook County,60651
261,11001,ROOSEVELT,51ST AVENUE,EB,NS,12,,1,Roosevelt & 51st Avenue,41.865553,-87.752246,5101,W Roosevelt Rd,Cicero,IL,Cook County,60804
2934,11002,115TH STREET,1700 WEST RR CROSSING,EB,NS,111,,1,1700 W 115th Street,41.684933,-87.664381,11459,S Davol St,Chicago,IL,Cook County,60643
177,11003,HARRISON,ST. LOUIS,EB,NS,7,,1,Harrison & St. Louis,41.873407,-87.713047,603,S St Louis Ave,Chicago,IL,Cook County,60624
7788,11004,36TH STREET,FRANCISCO,EB,NS,35,,1,36th Street & Francisco,41.828091,-87.697497,3600,S Francisco Ave,Chicago,IL,Cook County,60632
10930,11005,75TH STREET,PERRY,EB,NS,75,,1,75th Street & Perry,41.757978,-87.628256,125,W 75th St,Chicago,IL,Cook County,60620
2265,11006,95TH STREET,EBERHART,EB,MT,"3,N5,95,115",N5,1,95th Street & Eberhart,41.722188,-87.611913,9450,S Eberhart Ave,Chicago,IL,Cook County,60619
5671,11007,IRVING PARK,FREMONT,EB,FS,80,,1,Irving Park & Fremont,41.954366,-87.652305,3958,N Fremont St,Chicago,IL,Cook County,60613
12479,11008,ADDISON,NORDICA,EB,NS,152,,1,Addison & Nordica,41.945152,-87.80348,7101,W Addison St,Chicago,IL,Cook County,60634
56,11009,JACKSON,LAFLIN,EB,FS,126,,1,Jackson & Laflin,41.877439,-87.664534,1501,W Jackson Blvd,Chicago,IL,Cook County,60607
10497,11010,55TH STREET,KILBOURN,EB,FS,55,,1,55th Street & Kilbourn,41.792918,-87.73512,4455,W 55th St,Chicago,IL,Cook County,60632
8154,11011,47TH STREET,CAMPBELL,EB,NS,"47,94",,1,47th Street & Campbell,41.808176,-87.687211,2507,W 47th St,Chicago,IL,Cook County,60632
9719,11012,LAWRENCE,ORIOLE (east leg),EB,NS,81W,,1,Lawrence & Oriole,41.96683,-87.816658,4748,Oriole Ave,Harwood Heights,IL,Cook County,60706
6302,11013,26TH STREET,500' WEST OF RR CROSSING,EB,MB,60,N60,1,4631 W 26th Street,41.842894,-87.741253,2601,Cicero Ave,Cicero,IL,Cook County,60804
423,11014,MADISON,CAMPBELL (west leg),EB,NS,20,N20,1,Madison & Campbell,41.880966,-87.688671,2459,W Madison St,Chicago,IL,Cook County,60612
10510,11015,55TH STREET,SPAULDING,EB,FS,55,N55,1,55th Street & Spaulding,41.793284,-87.705816,3257,W 55th St,Chicago,IL,Cook County,60632
14675,11016,DEMPSTER,FLORENCE,EB,NS,206,,2,Dempster & Florence,42.04099,-87.694667,1600,Dempster St,Evanston,IL,Cook County,60202
735,11017,GRAND,ABERDEEN,EB,NS,65,,1,Grand & Aberdeen,41.890963,-87.654887,470,N Aberdeen St,Chicago,IL,Cook County,60642
3770,11018,LAWRENCE,CLIFTON/RED LINE STATION,EB,FS,81,N81,1,Lawrence Red Line Station,41.969098,-87.658457,1117,W Lawrence Ave,Chicago,IL,Cook County,60640
395,11019,MADISON,LONG,EB,MT,20,N20,1,Madison & Long,41.880025,-87.759798,5357,W Madison St,Chicago,IL,Cook County,60644
12226,11020,103RD STREET,1100 EAST RR CROSSING,EB,NS,106,,1,1100 E 103rd Street,41.707019,-87.597707,1031,E 103rd St,Chicago,IL,Cook County,60628
4990,11021,BELMONT,PINE GROVE,EB,NS,77151156,,1,Belmont & Pine Grove,41.939956,-87.642095,501,W Belmont Ave,Chicago,IL,Cook County,60657
1645,11022,E HYDE PARK,DORCHESTER,EB,FS,"2,15",,1,E Hyde Park & Dorchester,41.802208,-87.591644,1403,E Hyde Park Blvd,Chicago,IL,Cook County,60615
5248,11023,100TH STREET,CALHOUN,EB,FS,100,,1,100th Street & Calhoun,41.713366,-87.561897,10001,S Calhoun Ave,Chicago,IL,Cook County,60617
708,11024,GRAND,THOMAS,EB,NS,65,,6,Grand & Thomas,41.900824,-87.713783,1059,N St Louis Ave,Chicago,IL,Cook County,60651
11895,11025,KEDZIE,CARMEN,NB,NS,"82,93",,1,Kedzie & Carmen,41.973808,-87.708268,5055,N Kedzie Ave,Chicago,IL,Cook County,60625
10427,11026,CICERO,ARTHUR,NB,NS,54A,,1,Cicero & Arthur,41.998948,-87.747871,6467,N Cicero Ave,Lincolnwood,IL,Cook County,60712
8521,11027,WESTERN,91ST STREET,NB,NS,95,,1,Western & 91st Street,41.727965,-87.682027,9107,S Western Ave,Chicago,IL,Cook County,60620
4737,11028,PULASKI,87TH STREET,SB,NS,53A,,1,Pulaski & 87th Street,41.735039,-87.72169,8658,S Pulaski Rd,Chicago,IL,Cook County,60652
8593,11029,EAST RIVER RD,EVELYN LANE,SB,NT,81W,,1,East River Rd & Evelyn Lane,41.976635,-87.845952,8745,W Catherine Ave,Chicago,IL,Cook County,60656
9878,11030,HIGGINS,MAJOR,SEB,MT,88,,1,Higgins & Major,41.971039,-87.771081,5705,W Higgins Ave,Chicago,IL,Cook County,60630
10487,11031,CICERO,AINSLIE,SB,NS,54A,,1,Cicero & Ainslie,41.970057,-87.748007,4800,W Ainslie St,Chicago,IL,Cook County,60630
9923,11032,NORTHWEST HWY,MERRILL,SEB,NT,68,,1,Northwest Hwy & Merrill,42.00662,-87.82284,400,S Northwest Hwy,Park Ridge,IL,Cook County,60068
11157,11033,HOMAN,LE MOYNE,SB,NS,82,,1,Homan & Le Moyne,41.908412,-87.712117,3402,W Le Moyne St,Chicago,IL,Cook County,60651
8941,11034,DAMEN,BARRY,NB,NS,50,,1,Damen & Barry,41.93762,-87.678021,3057,N Damen Ave,Chicago,IL,Cook County,60618
8320,11035,WESTERN,66TH STREET,NB,NS,49,N49,1,Western & 66th Street,41.773649,-87.682973,6601,S Western Ave,Chicago,IL,Cook County,60636
4174,11036,CALIFORNIA,36TH PLACE,NB,NT,94,,1,California & 36th Place,41.82749,-87.695001,3622,S California Ave,Chicago,IL,Cook County,60632
10486,11037,CICERO,ARGYLE,SB,NS,54A,,1,Cicero & Argyle,41.971804,-87.748173,5000,N Cicero Ave,Chicago,IL,Cook County,60630
10407,11038,CICERO,29TH STREET,NB,NS,"35,54B",,1,Cicero & 29th Street,41.839993,-87.743263,2903,Cicero Ave,Cicero,IL,Cook County,60804
8537,11039,HARLEM,SUMMERDALE (south leg),SB,NS,90,,1,Harlem & Summerdale,41.977345,-87.807256,7200,W Summerdale Ave,Chicago,IL,Cook County,60656
10023,11040,KEDZIE,80TH STREET,SB,NS,52A,,1,Kedzie & 80th Street,41.748152,-87.702632,7956,S Kedzie Ave,Chicago,IL,Cook County,60652
6530,8098,WELLS,57TH STREET,SB,NS,"24,59",,1,Wells & 57th Street,41.791016,-87.631911,234,W 57th St,Chicago,IL,Cook County,60621
1654,8099,S HYDE PARK,55TH STREET,SB,FS,"6,28,55",N55,1,S Hyde Park & 55th Street,41.795054,-87.584296,5502,S Hyde Park Blvd,Chicago,IL,Cook County,60637
10161,8100,69TH STREET,THROOP,EB,NS,67,,1,69th Street & Throop,41.76841,-87.656851,6900,S Throop St,Chicago,IL,Cook County,60636
14674,8101,DEMPSTER,DEWEY,EB,NS,206,,2,Dempster & Dewey,42.040999,-87.696228,1700,Dempster St,Evanston,IL,Cook County,60202
15933,8102,76TH STREET,FORD CITY AMC Movie Theatre,EB,MB,"54B,79",,1,76th Street & Ford City Movie Theatre,41.75357,-87.733384,7440,W 77th St,Chicago,IL,Cook County,60652
10802,8103,71ST STREET,EAST END (west leg),EB,NS,71,,1,71st Street & East End,41.765823,-87.583861,1653,E 71st St,Chicago,IL,Cook County,60649
10149,8104,69TH STREET,BELL,EB,NS,"67,94",,1,69th Street & Bell,41.768607,-87.679763,2226,W 69th St,Chicago,IL,Cook County,60636
5085,8105,47TH STREET,MORGAN,EB,NS,"44,47",,1,47th Street & Morgan,41.808535,-87.650564,1001,W 47th St,Chicago,IL,Cook County,60609
12142,8106,103RD STREET,HOYNE (east leg),EB,NS,103,,1,103rd Street & Hoyne,41.706313,-87.674685,10300,S Hoyne Ave,Chicago,IL,Cook County,60643
6698,8107,TAYLOR,ABERDEEN,EB,NT,157,,1,Taylor & Aberdeen,41.869282,-87.654492,1101,W Taylor St,Chicago,IL,Cook County,60607
